producto;sku;stock;categoria;unidades_12w;revenue_12w;ventas_semanales_prom;semanas_stock_cubre;alerta;alerta_clean
Set de Bowls Mediterráneo;COC-001;84;cocina;305,0;1315880,76;25,42;3,3;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Tabla de Madera Olivia;COC-002;61;cocina;287,0;1706021,09;23,92;2,55;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Porta Utensilios Cobre;COC-003;120;cocina;254,0;744811,65;21,17;5,67;🟢 OK;OK
Delantal Lino Natural;COC-004;95;cocina;273,0;861513,3;22,75;4,18;🟢 OK;OK
Especiero Madera 12 frascos;COC-005;43;cocina;0,0;0,0;0,0;;🟢 OK;OK
Salvamanteles Silicona Set;COC-006;210;cocina;0,0;0,0;0,0;;🟢 OK;OK
Jabonera Mármol Blanco;BAN-001;76;bano;258,0;727585,73;21,5;3,53;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Set Toallas Waffle;BAN-002;55;bano;299,0;2010210,38;24,92;2,21;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Porta Cepillo Cerámica;BAN-003;130;bano;210,0;396539,33;17,5;7,43;🟢 OK;OK
Espejo Redondo Nordico;BAN-004;28;bano;291,0;3598191,92;24,25;1,15;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Cesto Mimbre Rollo;BAN-005;67;bano;0,0;0,0;0,0;;🟢 OK;OK
Dispensador Jabón Terrazzo;BAN-006;89;bano;0,0;0,0;0,0;;🟢 OK;OK
Marco Madera Natural 30x40;DEC-001;102;deco;291,0;1343348,35;24,25;4,21;🟢 OK;OK
Jarrón Minimalista Blanco;DEC-002;74;deco;280,0;1781835,28;23,33;3,17;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Caja Ratan Organizadora;DEC-003;88;deco;241,0;1241380,47;20,08;4,38;🟢 OK;OK
Estante Flotante Roble;DEC-004;36;deco;311,0;2868899,92;25,92;1,39;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Reloj Pared Minimalista;DEC-005;49;deco;0,0;0,0;0,0;;🟢 OK;OK
Colgador Pared Macramé;DEC-006;57;deco;0,0;0,0;0,0;;🟢 OK;OK
Sillón Boho Arena;SIL-001;18;sillones;303,0;14922350,6;25,25;0,71;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Sillón Terciopelo Verde;SIL-002;12;sillones;245,0;12893197,0;20,42;0,59;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Puff Redondo Boucle;SIL-003;34;sillones;278,0;6222729,92;23,17;1,47;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Sillón Acapulco Negro;SIL-004;22;sillones;275,0;9959194,56;22,92;0,96;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Silla Ratán Exterior;SIL-005;40;sillones;0,0;0,0;0,0;;🟢 OK;OK
Difusor Bambú 200ml;ARO-001;145;aromas;306,0;1197961,67;25,5;5,69;🟢 OK;OK
Vela Soja Lavanda Grande;ARO-002;198;aromas;257,0;679254,86;21,42;9,25;🟢 OK;OK
Set Sales de Baño Botánico;ARO-003;110;aromas;285,0;1199914,46;23,75;4,63;🟢 OK;OK
Incienso Palo Santo 10u;ARO-004;320;aromas;279,0;429684,91;23,25;13,76;🟢 OK;OK
Aceite Esencial Eucalipto;ARO-005;88;aromas;0,0;0,0;0,0;;🟢 OK;OK
Mantel Lino 180cm;MES-001;63;mesa;307,0;1746371,79;25,58;2,46;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Set Servilletas Bordadas;MES-002;170;mesa;260,0;578649,84;21,67;7,85;🟢 OK;OK
Porta Velas Mesa Hierro;MES-003;91;mesa;254,0;947814,97;21,17;4,3;🟢 OK;OK
Camino Mesa Ratan;MES-004;78;mesa;276,0;1213691,08;23,0;3,39;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Salero Pimentero Madera;MES-005;124;mesa;0,0;0,0;0,0;;🟢 OK;OK
Maceta Terracota XL;JAR-001;52;jardin;285,0;1992174,78;23,75;2,19;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Farolito Solar Colgante;JAR-002;69;jardin;239,0;1082663,43;19,92;3,46;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Cojín Exterior Rayas;JAR-003;81;jardin;257,0;1361929,03;21,42;3,78;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Regadera Cobre Vintage;JAR-004;35;jardin;301,0;2434563,1;25,08;1,4;🔴 Stock crítico (<4 semanas);Stock crítico (<4 semanas)
Guirnalda LED Solar 5m;JAR-005;97;jardin;0,0;0,0;0,0;;🟢 OK;OK
